Date,PM2.5,PM10,CO,SO2,O3,AQI,AQI_Bucket
01-01-2019,287.34,461.02,2.54,17.77,39.58,475,Severe
01-02-2019,331.2,515.72,2.78,18.27,43.3,501,Severe
01-03-2019,355.4,519.34,2.55,15.12,39.77,537,Severe
01-04-2019,246.46,388.79,2.01,13.22,28.75,432,Severe
01-05-2019,262.53,411.49,2.23,15.59,36.33,440,Severe
01-06-2019,174.26,254.66,1.49,13.65,31.48,371,Very Poor
01-07-2019,181.74,283.88,1.57,15.49,27.11,331,Very Poor
01-08-2019,156.26,242.02,1.31,14.67,27.37,340,Very Poor
01-09-2019,143.66,238.94,1.3,15.09,30.9,321,Very Poor
01-10-2019,165.95,278.87,1.75,16.81,30.92,317,Very Poor
01-11-2019,278.95,432.2,2.9,20.03,35.61,401,Severe
01-12-2019,311.03,465.89,3.11,17.81,39.78,482,Severe
1/13/2019,272.45,403.32,2.36,17.83,37.53,464,Severe
1/14/2019,94.44,173.94,1.04,15.05,31.33,320,Very Poor
1/15/2019,134.57,229.1,1.37,17.09,29.85,248,Poor
1/16/2019,271.96,424.07,2.58,20.35,33.75,383,Very Poor
1/17/2019,358.91,519.49,3.13,19.63,39.76,515,Severe
1/18/2019,237.22,364.61,2.06,14.7,30.35,437,Severe
1/19/2019,262.68,402.21,2.35,18.07,34.75,411,Severe
1/20/2019,314.59,478.43,3.66,20.98,45.03,480,Severe
1/21/2019,175.49,289.4,1.83,16.82,32.77,413,Severe
1/22/2019,53.25,72.61,1.01,11.87,27.01,174,Moderate
1/23/2019,135.68,211.71,1.62,14.17,26.51,186,Moderate
1/24/2019,130.59,218.93,1.44,15.29,30.57,328,Very Poor
1/25/2019,81.2,136.43,1.01,14.62,30.01,188,Moderate
1/26/2019,101.61,169.32,0.98,14.48,35.41,231,Poor
1/27/2019,136.47,217.45,1.1,15.89,33.34,275,Poor
1/28/2019,126.48,212.42,1.06,15.76,33.6,301,Very Poor
1/29/2019,142,235.85,1.24,18.56,33.83,297,Poor
1/30/2019,206.14,334.21,1.76,24.75,35.84,342,Very Poor
1/31/2019,204.25,335.07,1.9,20.48,37.52,397,Very Poor
02-01-2019,178.68,265.65,1.34,17.83,33.12,329,Very Poor
02-02-2019,177.32,266.3,1.24,11.55,30.88,338,Very Poor
02-03-2019,131.1,209.41,1.32,11.7,29.44,323,Very Poor
02-04-2019,144.62,248.49,1.81,14.06,33.42,301,Very Poor
02-05-2019,256.33,408.32,2.95,22.38,46.33,398,Very Poor
02-06-2019,177.25,270.92,1.64,15.59,34.4,380,Very Poor
02-07-2019,65.65,107.83,0.84,11.12,30.25,233,Poor
02-08-2019,72.29,156.6,0.94,12.66,30.59,136,Moderate
02-09-2019,82.5,165.94,0.96,13.25,33.55,169,Moderate
02-10-2019,143.31,255.47,1.36,16.41,33.03,277,Poor
02-11-2019,173.61,304.98,1.78,17.52,37.03,332,Very Poor
02-12-2019,208.64,357.36,2.09,19.93,43.29,357,Very Poor
2/13/2019,198.26,336.99,1.94,18.61,43.36,372,Very Poor
2/14/2019,153.73,237.08,1.42,14.53,32.61,350,Very Poor
2/15/2019,123.46,194.76,1.22,15.38,28.15,275,Poor
2/16/2019,112.34,181.64,1.13,12.92,26.45,288,Poor
2/17/2019,99.27,180.93,1.09,15.14,34.81,247,Poor
2/18/2019,109.11,215.05,1.18,16.78,33.69,278,Poor
2/19/2019,126.12,229.75,1.56,15.93,36.66,232,Poor
2/20/2019,102.3,185.4,1.4,17.16,23.68,305,Very Poor
2/21/2019,73.33,178.07,1.37,20.1,34.41,158,Moderate
2/22/2019,73.9,147.86,1.07,13.94,28.45,191,Moderate
2/23/2019,56.51,115.07,0.85,15.66,37.26,116,Moderate
2/24/2019,89.34,161.89,1.03,18.99,38.02,169,Moderate
2/25/2019,92.36,172.59,1.24,18.07,42.49,221,Poor
2/26/2019,59.97,120.3,0.95,16.88,32.19,144,Moderate
2/27/2019,47.18,91.52,0.79,12.52,31.38,112,Moderate
2/28/2019,96.38,180.46,1.25,16.98,35.95,198,Moderate
03-01-2019,93.83,181.26,1.17,15.81,37.75,222,Poor
03-02-2019,109.6,182.54,1.36,17.96,25.07,227,Poor
03-03-2019,62.92,105.16,1.16,13.48,33.59,172,Moderate
03-04-2019,105.93,180.84,1.54,14.75,38.13,217,Poor
03-05-2019,68.86,135.4,1.01,14.26,36.3,173,Moderate
03-06-2019,83.45,168.32,1.25,15.16,33.71,189,Moderate
03-07-2019,104.61,212.7,1.48,16.39,39.32,228,Poor
03-08-2019,92.07,199.28,1.27,17.44,37.86,220,Poor
03-09-2019,73.31,162.18,0.99,17.3,33.51,194,Moderate
03-10-2019,73.98,163.8,0.96,16.36,44.11,157,Moderate
03-11-2019,82.17,205.43,1.24,18.44,42.09,190,Moderate
03-12-2019,57.28,129.4,0.93,13.82,37.15,149,Moderate
3/13/2019,89.17,231.19,1.27,22.48,33.94,168,Moderate
3/14/2019,111.2,217.74,1.36,17.54,28.81,281,Poor
3/15/2019,74.88,144.35,1,16.21,33.4,183,Moderate
3/16/2019,68.64,140.6,0.92,15.72,43.66,143,Moderate
3/17/2019,93.61,184.01,1.07,19.96,42,198,Moderate
3/18/2019,100.32,202.01,1.19,20.36,43.21,221,Poor
3/19/2019,103.77,227.07,1.29,20.72,40.14,239,Poor
3/20/2019,89.82,237.61,1.35,21.42,40.41,234,Poor
3/21/2019,112.29,197.17,1.34,19.99,46.64,272,Poor
3/22/2019,38.43,119.87,0.74,16.06,46.73,141,Moderate
3/23/2019,55.62,138.56,0.89,17.52,52.24,131,Moderate
3/24/2019,53.28,133.47,0.82,19.06,42.57,126,Moderate
3/25/2019,65,150.34,0.93,20.19,36.06,136,Moderate
3/26/2019,75.82,169.16,1.04,19.26,41.35,162,Moderate
3/27/2019,78.37,186.49,1.22,20.35,43.23,177,Moderate
3/28/2019,116.55,260.26,1.76,24.86,48.44,245,Poor
3/29/2019,112.67,257.27,1.8,19.52,46.51,273,Poor
3/30/2019,102.27,238.99,1.51,22.39,51.49,252,Poor
3/31/2019,58.96,177.53,0.94,18.9,48.72,198,Moderate
04-01-2019,59.08,170.14,0.88,20.09,54.95,153,Moderate
04-02-2019,90.1,211.47,1.19,24.4,54.67,194,Moderate
04-03-2019,85.02,206.04,1.32,21.6,51.06,208,Poor
04-04-2019,119.71,270.77,1.8,29.11,60.25,260,Poor
04-05-2019,125.44,281.53,1.96,28.67,57,284,Poor
04-06-2019,96.6,303.71,1.32,23.23,50.84,269,Poor
04-07-2019,152.91,355.22,1.49,21.35,53.16,315,Very Poor
04-08-2019,81.3,280.23,1.06,15.1,51.32,284,Poor
04-09-2019,87.74,225.5,1.44,22.03,57.86,240,Poor
04-10-2019,101.94,247.53,1.76,20.84,50.86,263,Poor
04-11-2019,70.25,204.19,1.21,21.51,48.59,196,Moderate
04-12-2019,61.34,217,1.12,19.48,51.94,202,Poor
4/13/2019,55.93,175.93,1.06,20.82,45.3,175,Moderate
4/14/2019,51.51,168.11,1.02,20.65,41.86,150,Moderate
4/15/2019,54.84,187.59,1.28,22.2,42.3,163,Moderate
4/16/2019,59.08,186.75,1.1,12.59,47.49,206,Poor
4/17/2019,22.14,62.49,0.9,11.1,45.44,102,Moderate
4/18/2019,38.92,91.55,1.01,15.05,50.12,104,Moderate
4/19/2019,71.62,155.39,1.24,21.22,45.45,151,Moderate
4/20/2019,90.55,193.76,1.42,26.03,55.67,199,Moderate
4/21/2019,95.24,219.06,1.66,22.16,50.13,225,Poor
4/22/2019,110.16,255.31,1.87,29.31,56.24,246,Poor
4/23/2019,104.17,277.28,1.92,25.76,53.24,257,Poor
4/24/2019,85.7,262.58,1.41,19.17,61.45,232,Poor
4/25/2019,86.41,274.39,1.31,17.67,65.26,251,Poor
4/26/2019,82.37,244.21,1.34,26.12,47.45,223,Poor
4/27/2019,73.06,301.82,1.05,21.85,52.16,248,Poor
4/28/2019,76.44,285.73,1.06,20.02,54,269,Poor
4/29/2019,84.04,274.83,1.33,23.71,50.32,256,Poor
4/30/2019,95.72,284.13,1.62,26.58,57.54,257,Poor
05-01-2019,111.57,323.97,1.61,27.67,65.95,285,Poor
05-02-2019,77.72,282.83,1.19,18.26,65.33,275,Poor
05-03-2019,52.16,149.1,1.09,17.91,64.36,202,Poor
05-04-2019,77.96,196.87,1.26,18.19,46.34,182,Moderate
05-05-2019,101.25,249.97,1.51,21.93,52.97,231,Poor
05-06-2019,118.9,295.84,1.93,23.72,55.91,267,Poor
05-07-2019,128.78,378.89,1.98,22.77,40.32,310,Very Poor
05-08-2019,143.34,415.23,2,25.84,47.34,389,Very Poor
05-09-2019,137.2,414.7,1.52,23.46,50.71,390,Very Poor
05-10-2019,95.07,320.44,1.03,17.6,52.66,333,Very Poor
05-11-2019,101.83,289.05,1.15,21.6,62.02,266,Poor
05-12-2019,178.22,503.28,1.22,19.36,57.85,352,Very Poor
5/13/2019,170.81,351.28,1.51,33.5,67.84,376,Very Poor
5/14/2019,58.22,124.28,1.02,13.4,54.85,217,Poor
5/15/2019,84.81,191.04,1.52,20.93,41.85,194,Moderate
5/16/2019,75.45,218.38,1.38,15.36,46.97,192,Moderate
5/17/2019,92.53,316.4,1.31,13.26,46.42,257,Poor
5/18/2019,44.28,106.51,1.04,10.93,45.46,176,Moderate
5/19/2019,81.99,162.83,1.21,17.36,59.34,168,Moderate
5/20/2019,93.97,218.72,1.35,19.81,53.31,216,Poor
5/21/2019,77.78,194.58,1.21,20.15,55.06,206,Poor
5/22/2019,64.24,201.27,1.5,16.92,38.34,167,Moderate
5/23/2019,92.4,230,1.49,21.68,55.29,228,Poor
5/24/2019,43.86,117.66,1.21,11.99,31.11,151,Moderate
5/25/2019,43.66,118.65,0.99,13.09,51.47,125,Moderate
5/26/2019,55.13,136.58,1.06,17.94,59.94,135,Moderate
5/27/2019,64.66,172.68,1.28,18.9,53.59,163,Moderate
5/28/2019,65.82,183.77,1.3,20.59,54.43,175,Moderate
5/29/2019,74.8,202.75,1.45,23.61,57.99,191,Moderate
5/30/2019,85.21,246.05,1.75,21.99,49.58,226,Poor
5/31/2019,88.57,337.77,1.47,19.82,58.49,266,Poor
06-01-2019,95.4,298.35,1.56,21.54,64.56,300,Poor
06-02-2019,73.36,219.79,1.07,14.15,60.84,222,Poor
06-03-2019,66.94,300.7,1.03,12.64,60.03,232,Poor
06-04-2019,54.95,171.58,1.14,13.67,65.82,212,Poor
06-05-2019,73.35,208.72,1.29,15.82,59.78,190,Moderate
06-06-2019,70.61,236.45,1.13,16.15,61.04,209,Poor
06-07-2019,54.81,152.39,1.11,14.44,74.12,192,Moderate
06-08-2019,69.75,187.62,1.47,13.47,63.64,184,Moderate
06-09-2019,101.05,265.12,1.86,21.74,69.14,237,Poor
06-10-2019,74.48,233.49,1.63,15.19,55.95,230,Poor
06-11-2019,118.38,487.77,1.41,13.52,39.96,315,Very Poor
06-12-2019,59.86,240.88,0.92,11.57,62.12,280,Poor
6/13/2019,52.66,189.69,1.03,11.79,52.93,189,Moderate
6/14/2019,53.79,188.21,1.07,12.89,59.31,167,Moderate
6/15/2019,81.86,274.68,1.18,17.56,57.41,217,Poor
6/16/2019,42.06,160.96,0.8,9.54,46.81,205,Poor
6/17/2019,40.18,137.08,0.89,11.07,40.56,126,Moderate
6/18/2019,30.39,84.53,1.03,8,48.99,119,Moderate
6/19/2019,79.96,223.08,1.12,12.69,61.02,173,Moderate
6/20/2019,42.76,130.88,0.92,9.7,68.57,175,Moderate
6/21/2019,71.15,188.16,1.22,12.23,59.68,178,Moderate
6/22/2019,68.27,177.16,1.11,14.97,69.18,185,Moderate
6/23/2019,42.06,126.12,0.95,10.11,57.33,153,Moderate
6/24/2019,26.29,85.68,0.92,10.74,37.78,118,Moderate
6/25/2019,53.65,119.98,1.07,11.91,54.02,131,Moderate
6/26/2019,67.36,155.9,1.16,12.87,46.26,161,Moderate
6/27/2019,65.3,230.98,1.16,13.46,46.84,169,Moderate
6/28/2019,61.21,239.15,1.02,14.43,38.39,207,Poor
6/29/2019,58.08,271.27,0.93,11.99,37.99,223,Poor
6/30/2019,65.24,270.03,1.04,12.82,44.4,234,Poor
07-01-2019,57.27,189.32,0.94,12.22,58,195,Moderate
07-02-2019,71.68,233.25,0.99,12.02,64.82,202,Poor
07-03-2019,39.99,113.92,0.99,9.75,42.31,162,Moderate
07-04-2019,36.82,87.8,1.11,9.75,28.2,111,Moderate
07-05-2019,48.6,99.98,1.2,11.05,22.68,113,Moderate
07-06-2019,34.25,87.5,1,10.18,33.71,99,Satisfactory
07-07-2019,38.81,91.79,1.08,10.67,38.66,101,Moderate
07-08-2019,49.12,148.79,1.15,10.64,35.11,129,Moderate
07-09-2019,42.56,128.6,1.11,9.52,25.75,131,Moderate
07-10-2019,69.21,278.71,1.04,10.41,28.65,150,Moderate
07-11-2019,76.99,352.26,0.97,9.64,29.84,300,Poor
07-12-2019,76.35,363.7,1.05,8.96,28.38,294,Poor
7/13/2019,63.18,294.27,0.97,9.11,30.81,312,Very Poor
7/14/2019,63.16,280.99,0.95,9.85,32.77,243,Poor
7/15/2019,42.04,137.67,1.09,10.39,27.23,180,Moderate
7/16/2019,31.51,79.22,1.05,9.64,30.05,117,Moderate
7/17/2019,32.06,67.73,1.03,8.91,31.48,92,Satisfactory
7/18/2019,32.92,78.08,1.24,8.86,30.75,98,Satisfactory
7/19/2019,63.02,158.3,1.41,9.95,49.9,142,Moderate
7/20/2019,46.43,117.84,1.15,8.6,29.1,137,Moderate
7/21/2019,50.57,105.55,1.39,8.83,32.04,123,Moderate
7/22/2019,60.38,119.66,1.55,8.95,34.79,124,Moderate
7/23/2019,73.08,153.96,1.61,9.05,40.16,156,Moderate
7/24/2019,63.26,156.93,1.41,8.83,33.1,165,Moderate
7/25/2019,22.79,63.51,0.94,8.76,22.78,98,Satisfactory
7/26/2019,30.63,61.26,0.99,8.92,27.72,94,Satisfactory
7/27/2019,26.16,45.04,1,8.67,29.54,85,Satisfactory
7/28/2019,21.13,46.35,0.89,8.43,30.62,83,Satisfactory
7/29/2019,24.45,64.17,0.92,8.97,29.78,82,Satisfactory
7/30/2019,30.1,82.81,0.97,9.36,27.42,90,Satisfactory
7/31/2019,30.22,76.67,0.93,8.78,31.25,90,Satisfactory
08-01-2019,34.26,85.89,0.94,8.79,32.51,98,Satisfactory
08-02-2019,35.06,83.66,1.03,8.45,29.29,95,Satisfactory
08-03-2019,38.54,80.35,1.07,9.43,27.74,104,Moderate
08-04-2019,46.69,88.15,1.13,9.96,27.25,101,Moderate
08-05-2019,52.2,104.96,1.24,9.37,28.66,108,Moderate
08-06-2019,30.04,57.31,1.14,8.26,22.91,99,Satisfactory
08-07-2019,32.63,72.98,1.22,9.81,29.87,104,Moderate
08-08-2019,27.69,80.22,1.01,10.61,30.92,99,Satisfactory
08-09-2019,14.59,61.47,0.86,9.3,26.17,89,Satisfactory
08-10-2019,16.73,47.75,0.87,8.47,25.43,75,Satisfactory
08-11-2019,25.53,67.15,0.96,8.65,26.21,83,Satisfactory
08-12-2019,20.53,51.91,1.02,8.14,21.46,80,Satisfactory
8/13/2019,21.68,56.18,1.1,8.37,20.73,85,Satisfactory
8/14/2019,33.21,58.36,1.19,8.5,31.43,93,Satisfactory
8/15/2019,28.78,56.28,1.04,8.51,23.58,93,Satisfactory
8/16/2019,15.52,37.1,0.87,8.61,23.59,73,Satisfactory
8/17/2019,10.24,19.51,0.81,7.67,16.51,67,Satisfactory
8/18/2019,15.51,30.45,0.98,8.57,18.03,66,Satisfactory
8/19/2019,38.55,86.13,1.31,8.6,28.06,99,Satisfactory
8/20/2019,41.74,95.71,1.23,8.12,28.41,103,Moderate
8/21/2019,46.69,129.46,1.14,7.81,31.18,107,Moderate
8/22/2019,44.16,130.49,1.21,8.41,25.95,125,Moderate
8/23/2019,50.49,142.76,1.3,8.36,28.57,130,Moderate
8/24/2019,60.71,149.82,1.47,8.78,28.17,149,Moderate
8/25/2019,33.49,67.82,0.93,8.23,24.22,107,Moderate
8/26/2019,25.06,68.59,0.99,8.55,24.07,77,Satisfactory
8/27/2019,40.68,107.99,1.17,10.01,36.98,114,Moderate
8/28/2019,42.04,103.01,1.07,9.64,34.34,119,Moderate
8/29/2019,33.92,90.29,0.93,8.24,30.97,103,Moderate
8/30/2019,43.5,105.68,1.02,9.33,39.25,110,Moderate
8/31/2019,57.16,123.23,1.41,9.14,33.71,123,Moderate
09-01-2019,35.13,81.44,1.11,8.41,31.24,123,Moderate
09-02-2019,46.15,101.79,1.07,8.81,39.18,105,Moderate
09-03-2019,70.64,143.56,1.21,8.95,32.5,131,Moderate
09-04-2019,73.33,150.39,1.22,9.03,36.13,165,Moderate
09-05-2019,33.9,90.44,0.97,9.25,28.87,118,Moderate
09-06-2019,35.81,89.47,0.99,10.9,27.22,96,Satisfactory
09-07-2019,34.98,83.26,1,8.17,24.58,95,Satisfactory
09-08-2019,32.83,77.01,0.9,8.72,32.4,99,Satisfactory
09-09-2019,56.31,126.43,1,8.45,30.84,107,Moderate
09-10-2019,64.48,144.47,1.07,9.49,40.53,139,Moderate
09-11-2019,79.6,174.33,1.15,9.54,48.95,166,Moderate
09-12-2019,57.83,132.61,0.99,8.91,32.08,158,Moderate
9/13/2019,33.59,83.22,0.88,8.16,27.33,103,Moderate
9/14/2019,26.65,69.36,0.77,8.48,28.64,85,Satisfactory
9/15/2019,35.52,72.61,0.91,8.55,28.58,83,Satisfactory
9/16/2019,56.6,129.47,1.13,8.35,35.4,111,Moderate
9/17/2019,59.14,135.84,1.12,8.64,41.22,143,Moderate
9/18/2019,35.41,97.32,0.86,9.46,37.19,117,Moderate
9/19/2019,21.74,62.19,0.78,9.29,27.34,80,Satisfactory
9/20/2019,40.33,106.47,0.95,10.81,29.76,96,Satisfactory
9/21/2019,39.23,96.29,0.99,9.63,28.51,112,Moderate
9/22/2019,26.51,65.65,0.91,9.32,21.15,86,Satisfactory
9/23/2019,34.46,83.33,0.93,9.9,30.49,89,Satisfactory
9/24/2019,35.88,96.22,0.98,9.19,28.92,103,Moderate
9/25/2019,30.52,86.31,0.9,8.94,28.53,100,Satisfactory
9/26/2019,22.9,69.49,0.83,10.43,24.16,87,Satisfactory
9/27/2019,15.66,56.71,0.78,10.3,23.54,78,Satisfactory
9/28/2019,22.52,66.98,0.77,10.01,22.22,78,Satisfactory
9/29/2019,16.91,51.03,0.74,8.85,22.84,68,Satisfactory
9/30/2019,29.42,81.97,0.92,8.22,26.67,75,Satisfactory
10-01-2019,33.92,92.41,0.96,8.5,26.15,98,Satisfactory
